id,first_capture
5,20250411
117629,20250815
117728,20140903
118116,20140813
118117,20140813
118118,20140813
118119,20140813
118122,20140813
118123,20140813
118124,20140813
118125,20140813
118126,20140813
118128,20140813
118130,20140813
118131,20140829
118132,20140813
118133,20140813
118134,20140813
118135,20140813
118136,20140813
118137,20140813
118138,20140813
118260,20140813
118261,20140813
118262,20140813
118263,20140813
118264,20140813
118280,20140813
118287,20140813
118288,20140813
118289,20140813
118290,20140813
118291,20140813
118292,20140813
118293,20140813
118294,20140813
118295,20140813
118296,20140813
118297,20140813
118298,20140813
118299,20140813
118300,20140813
118301,20140813
118302,20140813
118303,20140813
118304,20140813
118309,20140813
118311,20140813
118312,20140813
118313,20140813
118314,20150505
118315,20150505
118320,20140813
118324,20140813
118325,20140813
118326,20140813
118327,20140813
118328,20140813
118330,20140813
118331,20140813
118420,20140813
118421,20140813
118562,20150505
118564,20150505
118577,20150505
118578,20150505
118580,20150505
118581,20150505
118586,20150505
118587,20150505
118614,20140813
118615,20140813
118616,20140813
118617,20140813
120480,20140326
120481,20140326
120483,20140326
120484,20140326
120485,20140326
120486,20140326
120487,20140326
120488,20140326
120489,20140326
120732,20140326
121779,20140813
121780,20140813
122620,20140813
126909,20140903
127158,20140903
132447,20220607
132467,20220607
134500,20210507
136850,20210508
140318,20140413
142306,20140903
151008,20140429
151171,20140503
151173,20140503
151174,20140503
151175,20140503
151176,20140503
151177,20140503
151178,20140503
151179,20140503
151180,20140503
151181,20140503
151182,20140503
151183,20140503
151184,20140503
151185,20140503
151186,20140503
151187,20140503
151188,20140503
151190,20140503
151191,20140503
151192,20140503
151193,20140503
151194,20140503
156195,20220607
158561,20140427
158629,20140813
158630,20140813
158631,20140813
158632,20140813
158744,20140813
158745,20140813
158748,20140813
158749,20140813
158750,20140813
158751,20140813
158752,20140813
158753,20140813
158754,20140813
158757,20140813
158758,20140813
158759,20140813
158760,20140813
158761,20140813
158826,20140503
158834,20140503
158835,20140503
159061,20250821
163302,20140514
164733,20140812
164734,20140813
164740,20140514
164741,20140514
164742,20140514
164743,20140514
165340,20140813
165386,20251104
166108,20230319
166195,20140530
166241,20140716
166242,20140716
166250,20140716
167948,20140813
168226,20200803
168587,20140515
172363,20140514
172409,20140514
178043,20140514
178086,20140514
178309,20140514
182809,20140903
185463,20140813
190272,20140813
190273,20140813
190275,20140813
190278,20140813
190281,20140813
190282,20140813
190283,20140813
190284,20140813
190285,20140813
190286,20140813
190287,20140813
190300,20250821
193186,20230128
195360,20220704
195367,20220704
195373,20220704
195667,20201127
195668,20140603
200477,20141202
200478,20141202
200918,20140615
200943,20150619
200951,20230330
207789,20250828
208202,20140903
208556,20211024
208558,20141202
210945,20140817
211149,20141202
215432,20140614
215730,20140813
215731,20140813
215732,20140813
215733,20140813
215734,20140813
215981,20140614
218390,20250818
218426,20140616
218456,20141202
218748,20140903
220763,20140813
220764,20140813
220765,20140813
220766,20140813
220767,20140813
220768,20140813
220769,20140813
220770,20140813
220771,20140813
220772,20140813
220773,20140813
220774,20140813
220775,20140813
221908,20140703
221909,20140703
221910,20140703
221911,20140703
221912,20140703
221913,20140703
221914,20140703
221915,20140703
221916,20140703
